conditionId,question,group,end_date,n_increments,in_mle_29
0x04787bbd66241501604f377f11b897879c1593b019bb3363dac0a73e99b4a131,Will Fed cut interest rates 0 times in 2024?,fed,2024-12-30T00:00:00Z,180,False
0x0b7c6545b913133ccde713feb3599cae65325030bbe3e1bdf99943e5f5ef3464,Will the Fed decrease interest rates by 25 bps after its January meeting?,fed,2024-01-31T00:00:00Z,53,False
0x0fb3a064027b95de36af33e6b88b9bbd56f9e80707fe828c542daa3bd38f9001,Will the Fed raise interest rates by 25 bps after its November meeting?,fed,2023-10-31T00:00:00Z,42,False
0x1070c27e30447364ed6602778729203d29aaa8860cb0a24779eb3a26f68b245f,Will Fed cut interest rates 6+ times in 2024?,fed,2024-12-30T00:00:00Z,271,False
0x13d3e3531ecc4d6096ffe53c9a34f73ea56ed9b4404f87366e708d3d3a7be699,Will Fed cut interest rates 5 times in 2024?,fed,2024-12-30T00:00:00Z,271,False
0x19120414e0b7b170bb81ab518317f6926c2bb633167e4b11981ef7c078cea739,Fed rate cut by July 31?,fed,2024-07-31T00:00:00Z,169,True
0x1e14c1e407a8aa7a727fadf74049b255a93f1c22f137d6a244ea64604b5b36d5,Fed rate cut by June 12?,fed,2024-06-12T00:00:00Z,133,True
0x1e3afb4a670b4c28b8a2742ef61830023bb39809260af94908392cc7c9fdb7ca,Will the Fed decrease interest rates by 25 bps after its July meeting?,fed,2023-07-25T00:00:00Z,43,False
0x26000a18ec71be1c8dc92eeb52d274d561da9081bdae520968bb27f80ed453df,Will the Fed raise interest rates by 25 bps after its January meeting?,fed,2024-01-31T00:00:00Z,53,False
0x260fd9d6b10746909a26c2af7a68b409f757c95a07dc57ddd480774a36c8399b,Will Fed cut interest rates 3 times in 2024?,fed,2024-12-30T00:00:00Z,271,False
0x29f8437fee9a3c972bcdc483874dc6f5192142a2158e999ace849dedb342d671,Fed rate cut by May 1?,fed,2024-05-01T00:00:00Z,147,True
0x2edbdabce90c3dfa1125836396c80762fa3bf09eaf5e611e4a2fd4a13ce81c25,Will the Fed decrease interest rates by 25 bps after its June meeting?,fed,2023-06-12T00:00:00Z,41,False
0x3aacd25625f8dbf5bc0407d622067c2eb5706937a25cdba448f12aea6f38a2c3,Fed rate cut by January 31?,fed,2024-01-31T00:00:00Z,41,False
0x4057c2528a3815d460f0c5889f52a914745b23400c4548804afee8f9c4a56ec3,Fed rate cut by December 18?,fed,2024-12-18T00:00:00Z,193,True
0x42e7fa3bd683a276dae0292f0ab910ac18eb76ce7cf014ec9203f6539768735a,Will Fed cut interest rates 2 times in 2024?,fed,2024-12-30T00:00:00Z,231,False
0x4a5b5f52c6e7f2af6b06462c92d12ea7bd1662c87be11828da0722ff32373b36,Fed rate hike in 2024?,fed,2024-12-18T00:00:00Z,236,False
0x4c21fdaee92538da1af2d227e7688673fe8789decff537003cd3b67b0ecb1b8d,Fed increases interest rates by 25+ bps after June 2024 meeting?,fed,2024-06-12T00:00:00Z,41,False
0x50555c7f34fc16f03d84dd3c5f416506e53455515a8ca82c0fa90a2f8cacb5d3,Will the Fed increase interest rates by 50 bps after its May meeting?,fed,2023-05-02T00:00:00Z,55,False
0x5df9458d9918da733d784bc2a07768b293d10826385a3eb31dd716f99475dc79,Fed decreases interest rates by 50+ bps after June 2024 meeting?,fed,2024-06-12T00:00:00Z,41,False
0x5e9dcbf5748f0d4df34dc4795add11e59d529dbd08bd597966e8cb83a266565a,Will the Fed raise interest rates by 25 bps after its July meeting?,fed,2023-07-25T00:00:00Z,43,True
0x642926331d650ed2e4e1da2593f388cd803b4f283e09218fc1c5de90087b585c,Fed rate cut by November 7?,fed,2024-11-07T00:00:00Z,193,True
0x67a072e839762191a7931e405923110d52343ef6dc1d61cfc0720233951c03e4,No change in Fed interest rates after 2024 June meeting?,fed,2024-06-12T00:00:00Z,41,True
0x692cf1efb4aeb95f38a02b2b06085fee7f0e531967e12b996d4a1efeb1d570cf,Will the Fed raise interest rates by 0 bps after its July meeting?,fed,2023-07-25T00:00:00Z,43,False
0x70ee5e1d18a794f36d3c50b7215bd203e00f702d71fa0f0014466f98afe35a09,Will the Fed decrease interest rates by 25 bps after its 2024 March meeting?,fed,2024-03-18T00:00:00Z,49,False
0x814f5f4ed96cc3666fc05923f42bb1fd7f9c436dfc923d06a624904bbe0b05f8,Will the Fed increase interest rates by 25 bps after its June meeting?,fed,2023-06-13T00:00:00Z,41,False
0x86797195cdde3c3a30e2b1b9503bc727fe787845228e9876ed9bc380aa021148,Fed decreases interest rates by 25 bps after June 2024 meeting?,fed,2024-06-12T00:00:00Z,41,False
0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,Will the Fed raise interest rates by 0 bps after its January meeting?,fed,2024-01-31T00:00:00Z,53,True
0x9876cd5626a39e33e073159b813199f48ee860c8279f67244ee085dc7a9f0b41,Will the Fed increase interest rates by 25 bps after its May meeting?,fed,2023-05-02T00:00:00Z,55,True
0x9d1f0296f3a016727193d2b45704e0debc3b8048fe0715f8bb1e91550d321872,Will Fed cut interest rates 4 times in 2024?,fed,2024-12-30T00:00:00Z,271,True
0xa0811c97f529d627b7774a5b188e605736b745a1f892c39e16c5a022fdb84b8b,Fed rate cut by September 18?,fed,2024-09-18T00:00:00Z,193,True
0xa1d06c273030c75b85ecfee08b2ff1f0e510c07f12152f81c707eb83deaab8ba,No change in Fed raise interest rates after its 2024 March meeting?,fed,2024-03-18T00:00:00Z,49,True
0xa81f535a21c9fc890b335131ad726476605c563ad6b9a096568a0556db26987a,Fed rate cut by March 20?,fed,2024-03-20T00:00:00Z,93,True
0xac95a5009e493902628eaaa2138780fca5b5476825924ae7de023e8c65917662,Will the Fed raise interest rates by 0 bps after its December meeting?,fed,2023-12-12T00:00:00Z,50,True
0xb3b8ce34ae09a3d89aa860f033a2309b28f4712b1879bc5c6f787df3788e5d1d,Will the Fed raise interest rates by 0 bps after its November meeting?,fed,2023-10-31T00:00:00Z,42,True
0xb3e11395bc67c2ad811de3ea4f58d47778e7a7d209eb73bc04a21c5a7472c186,Will Fed cut interest rates 1 time in 2024?,fed,2024-12-30T00:00:00Z,180,False
0xd4a957e7b51fc2e74c4f1909583972011772eda01aada975251aeaffbbc73f56,Will the Fed decrease interest rates by 50+ bps after its March 2024 meeting?,fed,2024-03-18T00:00:00Z,48,False
0xdcb247a07c561e4d960cd5bd9346bfcd205a9ae6557263b390e93f9e90ca56ee,Will the Fed increase interest rates by 0 bps after its June meeting?,fed,2023-06-13T00:00:00Z,41,True
0xdf3b361f2617570e0abc10ece5e350a979c5e1e58ad5a2b5147e023ade4d9311,Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?,fed,2024-03-18T00:00:00Z,48,False
0xe83e0658c0c1cdfc4e2e4a82128307cc9b4c2cd0239c321f5a8f8a5ec38ae6b9,Will the Fed increase interest rates by 0 bps after its May meeting?,fed,2023-05-02T00:00:00Z,55,False
